scenario,duration,num_workers,successes,failures
loadtest.py,10,1,865,0
loadtest_grpc.py,10,1,5222,0
loadtest.py,10,5,853,0
loadtest_grpc.py,10,5,27637,0
loadtest.py,10,10,854,0
loadtest_grpc.py,10,10,33649,0
loadtest.py,15,1,1236,0
loadtest_grpc.py,15,1,8276,0
loadtest.py,15,5,1262,0
loadtest_grpc.py,15,5,44666,0
loadtest.py,15,10,1269,0
loadtest_grpc.py,15,10,57122,0
loadtest.py,30,1,2469,0
loadtest_grpc.py,30,1,15517,0
loadtest.py,30,5,2231,0
loadtest_grpc.py,30,5,88019,0
loadtest.py,30,10,2230,0
loadtest_grpc.py,30,10,113937,0
